layer, class_0_count, class_0_ratio, class_1_count, class_1_ratio, class_2_count, class_2_ratio, class_3_count, class_3_ratio, class_4_count, class_4_ratio, class_5_count, class_5_ratio, class_6_count, class_6_ratio
    0,         14530,      0.501242,          1111,      0.043875,           207,      0.013352,           521,      0.162053,          1089,      0.030903,           120,      0.005661,            23,      0.171642
    1,          2814,      0.097075,           396,      0.015639,           175,      0.011288,           158,      0.049145,           169,      0.004796,            38,      0.001793,             0,      0.000000
    2,          6377,      0.219988,           611,      0.024129,            42,      0.002709,            16,      0.004977,             8,      0.000227,            13,      0.000613,             2,      0.014925
    3,          1690,      0.058300,           615,      0.024287,           707,      0.045604,            71,      0.022084,            95,      0.002696,            25,      0.001179,             1,      0.007463
    4,          3326,      0.114737,           491,      0.019390,           192,      0.012385,            38,      0.011820,            40,      0.001135,             8,      0.000377,             2,      0.014925
    5,          2766,      0.095419,           231,      0.009123,           443,      0.028575,            45,      0.013997,            13,      0.000369,            15,      0.000708,             2,      0.014925
    6,          2278,      0.078584,           377,      0.014888,          1021,      0.065858,            15,      0.004666,            26,      0.000738,            18,      0.000849,             0,      0.000000
    7,          1671,      0.057645,           226,      0.008925,           288,      0.018577,            31,      0.009642,            56,      0.001589,            47,      0.002217,             4,      0.029851
    8,          3964,      0.136746,           147,      0.005805,            80,      0.005160,             6,      0.001866,            16,      0.000454,             9,      0.000425,             1,      0.007463
    9,          2364,      0.081551,            90,      0.003554,            51,      0.003290,            10,      0.003110,            32,      0.000908,             6,      0.000283,             1,      0.007463
   10,          1104,      0.038085,           175,      0.006911,            92,      0.005934,             7,      0.002177,            20,      0.000568,            16,      0.000755,             2,      0.014925
   11,          1975,      0.068132,           214,      0.008451,            87,      0.005612,             7,      0.002177,             9,      0.000255,            42,      0.001981,             1,      0.007463
   12,          1360,      0.046916,           260,      0.010268,            82,      0.005289,            28,      0.008709,            21,      0.000596,            35,      0.001651,             4,      0.029851
   13,          1306,      0.045053,           229,      0.009044,           492,      0.031736,            84,      0.026128,            72,      0.002043,            41,      0.001934,             0,      0.000000
   14,          3852,      0.132883,           579,      0.022865,            91,      0.005870,            12,      0.003733,            81,      0.002299,            21,      0.000991,             4,      0.029851
   15,           983,      0.033911,           508,      0.020062,           230,      0.014836,            26,      0.008087,           123,      0.003490,            35,      0.001651,            17,      0.126866
   16,          5479,      0.189009,            63,      0.002488,           417,      0.026898,            26,      0.008087,            49,      0.001391,            69,      0.003255,             9,      0.067164
   17,          2649,      0.091383,           328,      0.012953,           101,      0.006515,            35,      0.010886,            40,      0.001135,           139,      0.006557,             7,      0.052239
   18,          2890,      0.099696,            38,      0.001501,           328,      0.021157,            19,      0.005910,           118,      0.003349,            96,      0.004529,             6,      0.044776
   19,          4172,      0.143922,            33,      0.001303,            47,      0.003032,             7,      0.002177,            23,      0.000653,           104,      0.004906,            11,      0.082090
   20,          1674,      0.057748,            49,      0.001935,           127,      0.008192,            21,      0.006532,            57,      0.001618,            49,      0.002311,            11,      0.082090
   21,          3025,      0.104354,           158,      0.006240,            91,      0.005870,             0,      0.000000,            47,      0.001334,            88,      0.004151,             9,      0.067164
   22,          2032,      0.070098,           197,      0.007780,            81,      0.005225,             7,      0.002177,           139,      0.003944,            45,      0.002123,            16,      0.119403
   23,            35,      0.001207,         18640,      0.736119,         11162,      0.719990,           506,      0.157387,          7265,      0.206164,         13671,      0.644889,             0,      0.000000
