layer,class_0_count,class_0_ratio,class_1_count,class_1_ratio,class_2_count,class_2_ratio,class_3_count,class_3_ratio,class_4_count,class_4_ratio,class_5_count,class_5_ratio,class_6_count,class_6_ratio
0,13097,0.451808,449,0.017732,69,0.004451,211,0.065630,62,0.001759,23,0.001085,4,0.029851
1,2582,0.089071,187,0.007385,58,0.003741,33,0.010264,15,0.000426,4,0.000189,0,0.000000
2,3779,0.130364,201,0.007938,30,0.001935,3,0.000933,1,0.000028,4,0.000189,1,0.007463
3,1190,0.041051,114,0.004502,214,0.013804,11,0.003421,6,0.000170,3,0.000142,0,0.000000
4,1313,0.045295,71,0.002804,123,0.007934,4,0.001244,11,0.000312,4,0.000189,1,0.007463
5,914,0.031530,18,0.000711,171,0.011030,3,0.000933,1,0.000028,5,0.000236,1,0.007463
6,721,0.024872,21,0.000829,51,0.003290,0,0.000000,3,0.000085,6,0.000283,0,0.000000
7,430,0.014834,9,0.000355,5,0.000323,0,0.000000,2,0.000057,1,0.000047,2,0.014925
8,539,0.018594,9,0.000355,4,0.000258,1,0.000311,3,0.000085,2,0.000094,1,0.007463
9,274,0.009452,11,0.000434,1,0.000065,0,0.000000,3,0.000085,2,0.000094,0,0.000000
10,82,0.002829,18,0.000711,3,0.000194,1,0.000311,5,0.000142,1,0.000047,0,0.000000
11,45,0.001552,30,0.001185,21,0.001355,0,0.000000,0,0.000000,7,0.000330,0,0.000000
12,25,0.000862,31,0.001224,36,0.002322,7,0.002177,6,0.000170,4,0.000189,2,0.014925
13,11,0.000379,136,0.005371,279,0.017997,15,0.004666,27,0.000766,10,0.000472,0,0.000000
14,17,0.000586,338,0.013348,49,0.003161,6,0.001866,29,0.000823,3,0.000142,1,0.007463
15,3,0.000103,335,0.013230,104,0.006708,4,0.001244,37,0.001050,8,0.000377,10,0.074627
16,33,0.001138,35,0.001382,126,0.008127,6,0.001866,18,0.000511,42,0.001981,3,0.022388
17,23,0.000793,35,0.001382,55,0.003548,9,0.002799,12,0.000341,58,0.002736,3,0.022388
18,15,0.000517,3,0.000118,83,0.005354,0,0.000000,29,0.000823,16,0.000755,1,0.007463
19,24,0.000828,2,0.000079,6,0.000387,1,0.000311,3,0.000085,38,0.001793,1,0.007463
20,5,0.000172,3,0.000118,26,0.001677,0,0.000000,11,0.000312,14,0.000660,1,0.007463
21,0,0.000000,1,0.000039,0,0.000000,0,0.000000,1,0.000028,5,0.000236,0,0.000000
22,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000
23,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000
