layer, value, ratio
    0, 19718, 0.152145
    1, 18772, 0.144846
    2, 22050, 0.170139
    3, 22403, 0.172863
    4, 22769, 0.175687
    5, 23562, 0.181806
    6, 25276, 0.195031
    7, 22154, 0.170941
    8, 22874, 0.176497
    9, 23712, 0.182963
   10, 20551, 0.158573
   11, 19925, 0.153742
   12, 17912, 0.138210
   13, 15285, 0.117940
   14, 16351, 0.126165
   15, 12560, 0.096914
   16, 15359, 0.118511
   17, 13866, 0.106991
   18, 15377, 0.118650
   19, 16964, 0.130895
   20, 15995, 0.123418
   21, 18369, 0.141736
   22, 18989, 0.146520
   23, 45405, 0.350347
